id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,release_year
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,2020
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,2022
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,2020
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,2022
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,2020
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,2020
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,2023
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,2022
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,2024
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,2021
11,Moonlight Serenade,Lunar String Quartet,classical,peaceful,0.25,65,0.85,0.22,0.95,2023
12,Golden Hour Sonata,Ivory Keys,classical,focused,0.35,75,0.70,0.31,0.88,2024
13,Iron Hammer,Steel Vortex,metal,intense,0.95,165,0.25,0.44,0.02,2023
14,Rage Factory,Chaos Theory,metal,angry,0.92,140,0.15,0.38,0.01,2023
15,Island Sunshine,Tropical Soul,reggae,happy,0.60,85,0.82,0.77,0.35,2023
16,Lazy Hammock,Ocean Breeze,reggae,relaxed,0.45,72,0.75,0.68,0.42,2022
17,Rainy Window,Deep Blue,blues,melancholy,0.38,68,0.28,0.45,0.72,2024
18,Delta Dust,Mojo Rider,blues,relaxed,0.42,78,0.55,0.58,0.65,2021
19,Neon Pulse,Cyber Beats,edm,party,0.96,128,0.72,0.92,0.05,2023
20,Digital Dream,Electronica,edm,energetic,0.88,124,0.65,0.85,0.12,2020
21,Old Oak Tree,Willow Creek,country,nostalgic,0.55,95,0.62,0.58,0.68,2023
22,Mountain Mist,Echo Fold,folk,peaceful,0.30,82,0.78,0.52,0.91,2023
23,City Sidewalks,Street Poet,hip hop,energetic,0.78,92,0.55,0.88,0.15,2023
24,Vantage Point,Lyric Legend,hip hop,confident,0.72,88,0.61,0.82,0.21,2022
25,Carnival Night,Ritmo Rico,latin,energetic,0.85,115,0.81,0.90,0.25,2021
26,Tropical Dance,Samba Star,latin,happy,0.82,120,0.88,0.86,0.32,2022
27,Velvet Shadows,Silk Smooth,r&b,romantic,0.48,75,0.68,0.65,0.45,2023
28,Midnight Glow,Rose Gold,r&b,smooth,0.52,82,0.65,0.72,0.38,2023
29,Stardust Swing,Jazz Collective,jazz,happy,0.65,125,0.82,0.62,0.55,2023
30,Retro Future,Grid Runner,synthwave,futuristic,0.70,105,0.58,0.68,0.18,2024
31,Abyssal Void,Shadow Sound,dark ambient,mysterious,0.15,55,0.12,0.21,0.98,2020
32,Rebel Riot,Static Noise,punk,aggressive,0.94,182,0.32,0.65,0.01,2022
33,Deep Roots,Soul Singer,soul,emotional,0.58,72,0.42,0.58,0.62,2021
34,Groove City,Funky Town,disco,funky,0.88,120,0.85,0.92,0.08,2023
35,Spanish Sun,Flamenco Fire,flamenco,passionate,0.81,145,0.72,0.68,0.82,2020
36,Morning Grace,Harbor Choir,gospel,uplifting,0.75,110,0.85,0.58,0.45,2024
37,Grey Skies,Flannel Fade,grunge,sad,0.62,85,0.18,0.42,0.15,2021
38,Psychedelic Soul,Dream Weaver,psychedelic rock,trippy,0.68,105,0.55,0.62,0.28,2020
39,Robotic Rhythm,Machine Mind,techno,robotic,0.85,132,0.42,0.78,0.05,2023
40,Highlands Echo,Global Voice,world,traditional,0.52,98,0.75,0.65,0.78,2022
41,Summer Crush,Sunny Day,pop,catchy,0.78,122,0.85,0.82,0.15,2020
42,Midnight Confession,Luna Vane,pop,emotional,0.45,88,0.35,0.52,0.42,2020
43,Neon Heartbeat,Digital Love,pop,upbeat,0.85,128,0.72,0.91,0.08,2021
44,Waves of You,Ocean Echo,pop,summer,0.65,110,0.78,0.75,0.22,2020
45,Rising Higher,Peak Performance,pop,anthemic,0.92,145,0.65,0.68,0.05,2023
46,Simple Love,Acoustic Soul,pop,acoustic,0.32,75,0.82,0.58,0.88,2020
47,Electric Sky,Voltage,pop,danceable,0.88,124,0.68,0.85,0.02,2023
48,Lost in the City,Urban Pulse,pop,minimalist,0.55,100,0.52,0.62,0.31,2020
49,Silver Lining,Aria Grace,pop,hopeful,0.72,115,0.88,0.70,0.25,2024
50,Glitter Dust,Sparkle Squad,pop,party,0.95,132,0.92,0.95,0.10,2022
51,Fading Soul,Coldplay,country,relaxed,0.83,79,0.27,0.2,0.06,2023
52,Cold Sky,Dua Lipa,techno,robotic,0.68,157,0.87,0.63,0.34,2023
53,Deep Wind,Bruno Mars,dark ambient,intense,0.88,72,0.94,0.61,0.27,2024
54,Velvet Shadow,Drake,grunge,intense,0.22,124,0.46,0.44,0.75,2018
55,Solar Rain,Ed Sheeran,jazz,smooth,0.46,153,0.4,0.24,0.9,2024
56,Lunar Soul,The Lumineers,gospel,hopeful,0.22,141,0.92,0.62,0.47,2015
57,Falling Dream,Glass Animals,disco,happy,0.57,66,0.61,0.34,0.37,2019
58,Urban Ocean,SZA,synthwave,futuristic,0.4,128,0.86,0.74,0.76,2017
59,Electric Dream,Bruno Mars,psychedelic rock,trippy,0.19,170,0.79,0.86,0.99,2021
60,Echoing Mirror,Megan Thee Stallion,hip hop,energetic,0.74,131,0.35,0.69,0.02,2021
61,Falling Path,Zedd,country,relaxed,0.95,112,0.61,0.74,0.81,2024
62,Broken Light,Zedd,reggae,happy,0.91,155,0.49,0.2,0.37,2019
63,Flying Sky,The Weeknd,rock,moody,0.61,169,0.85,0.8,0.45,2024
64,Solar Moon,The Weeknd,rock,energetic,0.68,113,0.68,0.64,0.27,2019
65,Warm Silence,Bruno Mars,lofi,chill,0.49,157,0.53,0.2,0.55,2024
66,Falling Spirit,The Lumineers,latin,energetic,0.29,102,0.18,0.63,0.85,2023
67,Crystal Shadow,Megan Thee Stallion,r&b,smooth,0.37,114,0.84,0.44,0.78,2023
68,Solar Mirror,Harry Styles,hip hop,moody,0.21,64,0.27,0.92,0.21,2018
69,Rising Road,The Weeknd,soul,uplifting,0.98,73,0.89,0.36,0.94,2016
70,Rising Road,Lil Nas X,metal,intense,0.28,61,0.46,0.71,0.22,2023
71,Silver Ocean,Taylor Swift,indie pop,emotional,0.46,92,0.88,0.72,0.19,2017
72,Rising Vision,Arctic Monkeys,rock,energetic,0.62,141,0.43,0.78,0.86,2020
73,Golden Storm,Kygo,latin,happy,0.52,131,0.22,0.57,0.83,2020
74,Vibrant Star,Drake,reggae,relaxed,0.5,93,0.58,0.37,0.39,2022
75,Echoing Sound,Taylor Swift,rock,energetic,0.88,131,0.68,0.85,0.78,2022
76,Lost Spirit,Kygo,dark ambient,gloomy,0.36,161,0.33,0.31,0.28,2022
77,Golden Dream,Megan Thee Stallion,dark ambient,intense,0.54,74,0.53,0.46,0.68,2024
78,Found Dream,Lana Del Rey,techno,intense,0.93,131,0.36,0.98,0.35,2023
79,Deep Ghost,The Chainsmokers,hip hop,energetic,0.94,115,0.9,0.89,0.98,2021
80,Falling Moon,Imagine Dragons,disco,party,0.51,106,0.5,0.17,0.43,2020
81,Neon Dream,Tame Impala,jazz,focused,0.53,168,0.36,0.18,0.08,2017
82,Midnight Path,Billie Eilish,pop,catchy,0.76,158,0.55,0.19,0.79,2016
83,Urban Wave,Olivia Rodrigo,gospel,hopeful,0.16,168,0.48,0.41,0.9,2023
84,Solar Fire,Arctic Monkeys,rock,rebellious,0.7,132,0.4,0.69,0.6,2019
85,Broken Ocean,Tame Impala,latin,energetic,0.49,140,0.73,0.25,0.05,2015
86,Electric Wave,Justin Bieber,latin,energetic,0.62,133,0.58,0.82,0.22,2019
87,Rising Grace,Imagine Dragons,soul,uplifting,0.48,149,0.94,0.66,0.32,2023
88,Vibrant Ocean,Lana Del Rey,disco,party,0.43,136,0.71,0.33,0.93,2021
89,Crystal Soul,Lil Nas X,world,energetic,0.72,169,0.35,0.83,0.28,2016
90,Fading City,Kendrick Lamar,soul,emotional,0.88,94,0.16,0.6,0.7,2024
91,Silver Sky,Megan Thee Stallion,psychedelic rock,relaxed,0.84,76,0.31,0.4,0.08,2020
92,Ocean Vision,Ariana Grande,psychedelic rock,relaxed,0.88,88,0.14,0.95,0.27,2020
